,Description,Calories,Protein,TotalFat,Carbohydrate
61,CREAM SUBSTITUTE POWDERED,545.0,4.79,35.48,54.88
62,DESSERT TOPPING POWDERED,577.0,4.9,39.92,52.54
63,DESSERT TOPPING PDR 1.5 OZ PREP W/1/2 CUP MILK,194.0,3.61,12.72,17.13
64,DESSERT TOPPING PRESSURIZED,264.0,0.98,22.3,16.07
65,DESSERT TOPPING SEMI SOLID FRZ,318.0,1.25,25.31,23.05
66,SOUR CRM IMITN CULTURED,208.0,2.4,19.52,6.63
67,MILK SUBSTITUTES FLUID W/LAURIC ACID OIL,61.0,1.75,3.41,6.16
68,MILK WHL 3.25% MILKFAT W/ ADDED VITAMIN D,61.0,3.15,3.25,4.8
69,MILK PRODUCER FLUID 3.7% MILKFAT,64.0,3.28,3.66,4.65
70,MILK RED FAT FLUID 2% MILKFAT W/ ADDED VIT A & VITAMIN D,50.0,3.3,1.98,4.8
71,MILK RED FAT FLUID 2% MILKFAT W/ ADDED NFMS  VIT A & VIT D,51.0,3.48,1.92,4.97
72,MILK RED FAT FLUID 2% MILKFAT PROT FORT W/ ADDED VIT A & D,56.0,3.95,1.98,5.49
73,MILK LOWFAT FLUID 1% MILKFAT W/ ADDED VIT A & VITAMIN D,42.0,3.37,0.97,4.99
74,MILK LOWFAT FLUID 1% MILKFAT W/ ADD NONFAT MILK SOL VIT A/ D,43.0,3.48,0.97,4.97
75,MILK LOWFAT FLUID 1% MILKFAT PROT FORT W/ ADDED VIT A & D,48.0,3.93,1.17,5.52
76,MILK NONFAT FLUID W/ ADDED VIT A & VIT D (FAT FREE OR SKIM),34.0,3.37,0.08,4.96
77,MILK NONFAT FLUID W/ ADDED NONFAT MILK SOL VIT A & VIT D,37.0,3.57,0.25,5.02
78,MILK NONFAT FLUID PROT FORT W/ ADD VIT A & D (FAT FREE/SKIM),41.0,3.96,0.25,5.56
79,MILK BTTRMLK FLUID CULTURED LOWFAT,40.0,3.31,0.88,4.79
80,MILK LO NA FLUID,61.0,3.1,3.46,4.46
81,MILK DRY WHL W/ ADDED VITAMIN D,496.0,26.32,26.71,38.42
82,MILK DRY NONFAT REG WO/ ADDED VIT A & VITAMIN D,362.0,36.16,0.77,51.98
83,MILK DRY NONFAT INST W/ ADDED VIT A & VITAMIN D,358.0,35.1,0.72,52.19
84,MILK DRY NONFAT CA RED,354.0,35.5,0.2,51.8
85,MILK BUTTERMILK DRIED,387.0,34.3,5.78,49.0
86,MILK CND COND SWTND,321.0,7.91,8.7,54.4
87,MILK CND EVAP W/ ADDED VITAMIN D & WO/ ADDED VIT A,134.0,6.81,7.56,10.04
88,MILK CND EVAP NONFAT W/ ADDED VIT A & VITAMIN D,78.0,7.55,0.2,11.35
89,MILK CHOC FLUID COMM WHL W/ ADDED VIT A & VITAMIN D,83.0,3.17,3.39,10.34
90,MILK CHOC FLUID COMM RED FAT,76.0,2.99,1.9,12.13
91,MILK CHOC FLUID COMM LOWFAT W/ ADDED VIT A & VITAMIN D,63.0,3.24,1.0,10.44
92,MILK CHOC BEV HOT COCOA HOMEMADE,77.0,3.52,2.34,10.74
93,MILK GOAT FLUID W/ ADDED VITAMIN D,69.0,3.56,4.14,4.45
94,MILK HUMAN MATURE FLUID,70.0,1.03,4.38,6.89
95,MILK INDIAN BUFFALO FLUID,97.0,3.75,6.89,5.18
96,MILK SHEEP FLUID,108.0,5.98,7.0,5.36
97,MILK SHAKES THICK CHOC,119.0,3.05,2.7,21.15
98,MILK SHAKES THICK VANILLA,112.0,3.86,3.03,17.75
